Week,Digital Nest: (India),Innomatics Research Labs - Data science & Big data EduTech Company-Hyderabad: (India),Social Prachar - Data Science Course AI Training in Hyderabad: (India),"ExcelR - Data Science, Data Analytics Course Training in Bangalore: (India)","360DigiTMG - Data Analytics, Data Science Course Training Hyderabad: (India)"
2020-04-19,0,0,17,69,35
2020-04-26,0,0,0,0,34
2020-05-03,34,17,0,17,34
2020-05-10,0,0,0,0,52
2020-05-17,17,0,0,17,0
2020-05-24,34,17,0,17,17
2020-05-31,0,0,16,49,32
2020-06-07,16,0,0,32,64
2020-06-14,0,0,0,0,0
2020-06-21,16,0,0,0,0
2020-06-28,32,0,0,0,31
2020-07-05,16,0,0,31,31
2020-07-12,16,16,0,31,0
2020-07-19,16,16,0,0,16
2020-07-26,16,0,0,16,15
2020-08-02,16,16,16,0,0
2020-08-09,0,0,0,0,30
2020-08-16,0,0,0,0,0
2020-08-23,0,0,0,15,15
2020-08-30,45,15,15,15,0
2020-09-06,0,0,0,0,0
2020-09-13,44,0,0,0,15
2020-09-20,14,0,0,57,14
2020-09-27,15,15,0,15,15
2020-10-04,0,0,0,29,15
2020-10-11,0,0,0,29,15
2020-10-18,45,0,15,15,0
2020-10-25,16,16,16,0,31
2020-11-01,0,15,0,15,0
2020-11-08,0,0,17,52,17
2020-11-15,0,0,0,0,17
2020-11-22,17,33,0,0,0
2020-11-29,0,0,32,65,16
2020-12-06,0,16,0,49,0
2020-12-13,0,32,0,48,32
2020-12-20,33,0,0,100,0
2020-12-27,16,0,0,16,16
2021-01-03,0,0,31,63,47
2021-01-10,66,0,0,33,0
2021-01-17,0,49,0,0,81
2021-01-24,34,68,0,17,34
2021-01-31,0,33,0,67,0
2021-02-07,0,0,0,16,32
2021-02-14,32,16,0,32,16
2021-02-21,0,32,0,49,48
2021-02-28,0,0,32,16,0
2021-03-07,0,33,0,17,16
2021-03-14,15,0,15,15,45
2021-03-21,0,16,0,32,16
2021-03-28,35,0,0,70,0
2021-04-04,50,17,0,50,17
2021-04-11,0,29,0,29,0
